,date,nu
3448,2017-06-10,8.575354631784018e-07
3449,2017-06-11,8.550576878040562e-07
3450,2017-06-12,8.441429572134983e-07
3451,2017-06-13,8.428409296218951e-07
3452,2017-06-14,8.380331912558723e-07
3453,2017-06-15,8.34730722514419e-07
3454,2017-06-16,8.325407720382299e-07
3455,2017-06-17,8.310859709835027e-07
3456,2017-06-18,8.265661609380595e-07
3457,2017-06-19,8.305414820902995e-07
3458,2017-06-20,8.294542365262593e-07
3459,2017-06-21,8.220860423663104e-07
3460,2017-06-22,8.160559205333461e-07
3461,2017-06-23,8.121921705058037e-07
3462,2017-06-24,8.073173790913915e-07
3463,2017-06-25,8.02489828673696e-07
3464,2017-06-26,8.033484546200571e-07
3465,2017-06-27,8.016326890758165e-07
3466,2017-06-28,7.971993864742929e-07
3467,2017-06-29,7.963513835708225e-07
3468,2017-06-30,7.906235343405949e-07
3469,2017-07-01,7.929739480731872e-07
3470,2017-07-02,7.982189234747632e-07
3471,2017-07-03,7.988997894276715e-07
3472,2017-07-04,7.951666333338949e-07
3473,2017-07-05,7.966904092087266e-07
3474,2017-07-06,7.919652429127688e-07
3475,2017-07-07,7.933106459582334e-07
3476,2017-07-08,7.949976165170586e-07
3477,2017-07-09,8.011191172902167e-07
3478,2017-07-10,8.380596340421185e-07
3479,2017-07-11,8.257551625511981e-07
3480,2017-07-12,8.550824658630807e-07
3481,2017-07-13,8.407798683282382e-07
3482,2017-07-14,8.358041271893075e-07
3483,2017-07-15,8.264604059498291e-07
3484,2017-07-16,8.331843730517676e-07
3485,2017-07-17,8.43920734711099e-07
3486,2017-07-18,8.498056625105285e-07
3487,2017-07-19,8.46837713385923e-07
3488,2017-07-20,8.416777639700681e-07
3489,2017-07-21,8.573065203628321e-07
3490,2017-07-22,8.568388452738561e-07
3491,2017-07-23,8.344050710792863e-07
3492,2017-07-24,8.183773410394894e-07
3493,2017-07-25,8.175363004164701e-07
3494,2017-07-26,8.127239004920699e-07
3495,2017-07-27,8.21357059589548e-07
3496,2017-07-28,8.226534227895084e-07
3497,2017-07-29,8.305118720307109e-07
3498,2017-07-30,8.441759551466787e-07
3499,2017-07-31,8.821114203392169e-07
3500,2017-08-01,8.754916565626718e-07
3501,2017-08-02,8.616028941230245e-07
3502,2017-08-03,8.213589070336769e-07
3503,2017-08-04,8.16770726261323e-07
3504,2017-08-05,8.105465184687484e-07
3505,2017-08-06,8.215076599597844e-07
3506,2017-08-07,8.155174874797565e-07
3507,2017-08-08,8.135409462152444e-07
3508,2017-08-09,8.151233396913264e-07
3509,2017-08-10,8.53358578305468e-07
3510,2017-08-11,8.708289495006574e-07
3511,2017-08-12,8.432087401010721e-07
3512,2017-08-13,8.342801982808863e-07
3513,2017-08-14,8.334350697095354e-07
3514,2017-08-15,8.223361960172211e-07
3515,2017-08-16,8.330157041795193e-07
3516,2017-08-17,8.202180889017988e-07
3517,2017-08-18,8.21166101377031e-07
3518,2017-08-19,8.236128221145839e-07
3519,2017-08-20,8.440169132327525e-07
3520,2017-08-21,8.212413850404253e-07
3521,2017-08-22,8.21886436776094e-07
3522,2017-08-23,8.398325545792561e-07
3523,2017-08-24,8.612979727819994e-07
3524,2017-08-25,8.742846613191296e-07
3525,2017-08-26,8.775687807502023e-07
3526,2017-08-27,8.802707586789131e-07
3527,2017-08-28,8.601228897876765e-07
3528,2017-08-29,8.42099695897179e-07
3529,2017-08-30,8.228463991656113e-07
3530,2017-08-31,8.18389257648939e-07
3531,2017-09-01,8.296133981500117e-07
3532,2017-09-02,8.481886579532376e-07
3533,2017-09-03,8.532409136849195e-07
3534,2017-09-04,8.350776667989602e-07
3535,2017-09-05,8.35731187600854e-07
3536,2017-09-06,8.345075693183888e-07
3537,2017-09-07,8.243604720818998e-07
3538,2017-09-08,8.262032346599925e-07
3539,2017-09-09,8.583865818034361e-07
3540,2017-09-10,8.871810039764832e-07
3541,2017-09-11,8.617688209072006e-07
3542,2017-09-12,8.49569851620764e-07
3543,2017-09-13,8.438347478859891e-07
3544,2017-09-14,8.38224126909439e-07
3545,2017-09-15,8.397960667426331e-07
3546,2017-09-16,8.381693334847529e-07
3547,2017-09-17,8.474266784783682e-07
3548,2017-09-18,8.684017586639368e-07
3549,2017-09-19,8.607390423545462e-07
3550,2017-09-20,8.488510820641923e-07
3551,2017-09-21,8.471794967559055e-07
3552,2017-09-22,8.553573113727841e-07
3553,2017-09-23,8.611829888214106e-07
3554,2017-09-24,8.452678860095766e-07
3555,2017-09-25,8.350090901279492e-07
3556,2017-09-26,8.3990111571268e-07
3557,2017-09-27,8.47651859014189e-07
3558,2017-09-28,8.508098742747197e-07
3559,2017-09-29,8.718723668853157e-07
3560,2017-09-30,8.64326391288376e-07
3561,2017-10-01,8.550402678342467e-07
3562,2017-10-02,8.633812966604058e-07
3563,2017-10-03,8.767344617897632e-07
3564,2017-10-04,8.737695949030709e-07
3565,2017-10-05,9.013943306338911e-07
3566,2017-10-06,8.535049416927061e-07
3567,2017-10-07,8.486306051851741e-07
3568,2017-10-08,8.439417214257382e-07
3569,2017-10-09,8.42055716878108e-07
3570,2017-10-10,8.435077530342798e-07
3571,2017-10-11,8.546111103110503e-07
3572,2017-10-12,8.7176347099464e-07
3573,2017-10-13,8.553702935878194e-07
3574,2017-10-14,8.608821317021435e-07
3575,2017-10-15,8.57373030489112e-07
3576,2017-10-16,8.492528426922207e-07
3577,2017-10-17,8.760878571248862e-07
3578,2017-10-18,8.891850377059103e-07
3579,2017-10-19,8.788948855286877e-07
3580,2017-10-20,8.799370606854e-07
3581,2017-10-21,8.720079315624103e-07
3582,2017-10-22,8.65711280795167e-07
3583,2017-10-23,8.616780789012465e-07
3584,2017-10-24,8.900280217762516e-07
3585,2017-10-25,9.92044918795916e-07
3586,2017-10-26,1.0213960065755098e-06
3587,2017-10-27,9.634388497820058e-07
3588,2017-10-28,9.507011904112387e-07
3589,2017-10-29,1.0210056428311248e-06
3590,2017-10-30,1.1174604157788453e-06
3591,2017-10-31,1.0207214556404656e-06
