date,Data_S65E,TP_mg/m3
4/19/2018,0.08,80
4/20/2018,0.0805,80.5
4/21/2018,0.081,81
4/22/2018,0.0815,81.5
4/23/2018,0.082,82
4/24/2018,0.080285714,80.28571429
4/25/2018,0.078571429,78.57142857
4/26/2018,0.076857143,76.85714286
4/27/2018,0.075142857,75.14285714
4/28/2018,0.073428571,73.42857143
4/29/2018,0.071714286,71.71428571
4/30/2018,0.07,70
5/1/2018,0.068285714,68.28571429
5/2/2018,0.066571429,66.57142857
5/3/2018,0.064857143,64.85714286
5/4/2018,0.063142857,63.14285714
5/5/2018,0.061428571,61.42857143
5/6/2018,0.059714286,59.71428571
5/7/2018,0.058,58
5/8/2018,0.06025,60.25
5/9/2018,0.0625,62.5
5/10/2018,0.06475,64.75
5/11/2018,0.067,67
5/12/2018,0.06925,69.25
5/13/2018,0.0715,71.5
5/14/2018,0.07375,73.75
5/15/2018,0.076,76
5/16/2018,0.07825,78.25
5/17/2018,0.0805,80.5
5/18/2018,0.08275,82.75
5/19/2018,0.085,85
5/20/2018,0.08725,87.25
5/21/2018,0.0895,89.5
5/22/2018,0.104035714,104.0357143
5/23/2018,0.118571429,118.5714286
5/24/2018,0.133107143,133.1071429
5/25/2018,0.147642857,147.6428571
5/26/2018,0.162178571,162.1785714
5/27/2018,0.176714286,176.7142857
5/28/2018,0.19125,191.25
5/29/2018,0.205785714,205.7857143
5/30/2018,0.220321429,220.3214286
5/31/2018,0.234857143,234.8571429
6/1/2018,0.249392857,249.3928571
6/2/2018,0.263928571,263.9285714
6/3/2018,0.278464286,278.4642857
6/4/2018,0.293,293
6/5/2018,0.286214286,286.2142857
6/6/2018,0.279428571,279.4285714
6/7/2018,0.272642857,272.6428571
6/8/2018,0.265857143,265.8571429
6/9/2018,0.259071429,259.0714286
6/10/2018,0.252285714,252.2857143
6/11/2018,0.2455,245.5
6/12/2018,0.238714286,238.7142857
6/13/2018,0.231928571,231.9285714
6/14/2018,0.225142857,225.1428571
6/15/2018,0.218357143,218.3571429
6/16/2018,0.211571429,211.5714286
6/17/2018,0.204785714,204.7857143
6/18/2018,0.198,198
6/19/2018,0.195142857,195.1428571
6/20/2018,0.192285714,192.2857143
6/21/2018,0.189428571,189.4285714
6/22/2018,0.186571429,186.5714286
6/23/2018,0.183714286,183.7142857
6/24/2018,0.180857143,180.8571429
6/25/2018,0.178,178
6/26/2018,0.175142857,175.1428571
6/27/2018,0.172285714,172.2857143
6/28/2018,0.169428571,169.4285714
6/29/2018,0.166571429,166.5714286
6/30/2018,0.163714286,163.7142857
7/1/2018,0.160857143,160.8571429
7/2/2018,0.158,158
7/3/2018,0.157428571,157.4285714
7/4/2018,0.156857143,156.8571429
7/5/2018,0.156285714,156.2857143
7/6/2018,0.155714286,155.7142857
7/7/2018,0.155142857,155.1428571
7/8/2018,0.154571429,154.5714286
7/9/2018,0.154,154
7/10/2018,0.153428571,153.4285714
7/11/2018,0.152857143,152.8571429
7/12/2018,0.152285714,152.2857143
7/13/2018,0.151714286,151.7142857
7/14/2018,0.151142857,151.1428571
7/15/2018,0.150571429,150.5714286
7/16/2018,0.15,150
7/17/2018,0.151142857,151.1428571
7/18/2018,0.152285714,152.2857143
7/19/2018,0.153428571,153.4285714
7/20/2018,0.154571429,154.5714286
7/21/2018,0.155714286,155.7142857
7/22/2018,0.156857143,156.8571429
7/23/2018,0.158,158
7/24/2018,0.159142857,159.1428571
7/25/2018,0.160285714,160.2857143
7/26/2018,0.161428571,161.4285714
7/27/2018,0.162571429,162.5714286
7/28/2018,0.163714286,163.7142857
7/29/2018,0.164857143,164.8571429
7/30/2018,0.166,166
7/31/2018,0.161142857,161.1428571
8/1/2018,0.156285714,156.2857143
8/2/2018,0.151428571,151.4285714
8/3/2018,0.146571429,146.5714286
8/4/2018,0.141714286,141.7142857
8/5/2018,0.136857143,136.8571429
8/6/2018,0.132,132
8/7/2018,0.130428571,130.4285714
8/8/2018,0.128857143,128.8571429
8/9/2018,0.127285714,127.2857143
8/10/2018,0.125714286,125.7142857
8/11/2018,0.124142857,124.1428571
8/12/2018,0.122571429,122.5714286
8/13/2018,0.121,121
8/14/2018,0.119428571,119.4285714
8/15/2018,0.117857143,117.8571429
8/16/2018,0.116285714,116.2857143
8/17/2018,0.114714286,114.7142857
8/18/2018,0.113142857,113.1428571
8/19/2018,0.111571429,111.5714286
8/20/2018,0.11,110
8/21/2018,0.109866667,109.8666667
8/22/2018,0.109733333,109.7333333
8/23/2018,0.1096,109.6
8/24/2018,0.109466667,109.4666667
8/25/2018,0.109333333,109.3333333
8/26/2018,0.1092,109.2
8/27/2018,0.109066667,109.0666667
8/28/2018,0.108933333,108.9333333
8/29/2018,0.1088,108.8
8/30/2018,0.108666667,108.6666667
8/31/2018,0.108533333,108.5333333
9/1/2018,0.1084,108.4
9/2/2018,0.108266667,108.2666667
9/3/2018,0.108133333,108.1333333
9/4/2018,0.108,108
9/5/2018,0.108461538,108.4615385
9/6/2018,0.108923077,108.9230769
9/7/2018,0.109384615,109.3846154
9/8/2018,0.109846154,109.8461538
9/9/2018,0.110307692,110.3076923
9/10/2018,0.110769231,110.7692308
9/11/2018,0.111230769,111.2307692
9/12/2018,0.111692308,111.6923077
9/13/2018,0.112153846,112.1538462
9/14/2018,0.112615385,112.6153846
9/15/2018,0.113076923,113.0769231
9/16/2018,0.113538462,113.5384615
9/17/2018,0.114,114
9/18/2018,0.114214286,114.2142857
9/19/2018,0.114428571,114.4285714
9/20/2018,0.114642857,114.6428571
9/21/2018,0.114857143,114.8571429
9/22/2018,0.115071429,115.0714286
9/23/2018,0.115285714,115.2857143
9/24/2018,0.1155,115.5
9/25/2018,0.115714286,115.7142857
9/26/2018,0.115928571,115.9285714
9/27/2018,0.116142857,116.1428571
9/28/2018,0.116357143,116.3571429
9/29/2018,0.116571429,116.5714286
9/30/2018,0.116785714,116.7857143
10/1/2018,0.117,117
10/2/2018,0.127666667,127.6666667
10/3/2018,0.138333333,138.3333333
10/4/2018,0.149,149
10/5/2018,0.143181818,143.1818182
10/6/2018,0.137363636,137.3636364
10/7/2018,0.131545455,131.5454545
10/8/2018,0.125727273,125.7272727
10/9/2018,0.119909091,119.9090909
10/10/2018,0.114090909,114.0909091
10/11/2018,0.108272727,108.2727273
10/12/2018,0.102454545,102.4545455
10/13/2018,0.096636364,96.63636364
10/14/2018,0.090818182,90.81818182
10/15/2018,0.085,85
10/16/2018,0.084428571,84.42857143
10/17/2018,0.083857143,83.85714286
10/18/2018,0.083285714,83.28571429
10/19/2018,0.082714286,82.71428571
10/20/2018,0.082142857,82.14285714
